"","Date","水泥","食品","塑膠","紡織","電機","電纜","玻璃","造紙","鋼鐵","橡膠","汽車","營建","航運","觀光","金融","百貨","其他","化學","生技","油電","半導體","電腦","光電","通信","零組件","電通","資服","其他電","化生","電子","窯製","化工","日新增案例-7日簡單平均線"
"28",2021-04-21,201.134285714286,1951.17285714286,310.448571428571,654.458571428571,268,75.8614285714286,65.3242857142857,446.338571428571,170.522857142857,396.864285714286,352.675714285714,370.844285714286,147.164285714286,110.79,1458.06714285714,287.59,366.462857142857,128.444285714286,71.55,132.05,415.971428571429,145.861428571429,50.3357142857143,131.957142857143,176.074285714286,164.35,136.312857142857,112.031428571429,115.76,842.624285714286,770.267142857143,1032.38571428571,2.14285714285714
"29",2021-04-22,204.135714285714,1960.95285714286,311.482857142857,660.93,267.382857142857,76.9471428571429,66.9471428571429,449.864285714286,174.232857142857,399.412857142857,352.602857142857,372.934285714286,151.365714285714,110.857142857143,1463.03,288.398571428571,366.774285714286,128.764285714286,71.4471428571429,131.978571428571,413.874285714286,146.002857142857,50.5914285714286,132.071428571428,175.827142857143,164.97,136.43,111.687142857143,115.834285714286,839.975714285714,782.881428571429,1035.71714285714,2.57142857142857
"30",2021-04-23,205.834285714286,1966.72142857143,311.498571428571,664.091428571429,267.184285714286,77.5757142857143,67.9828571428571,452.878571428571,176.022857142857,401.56,352.227142857143,374.957142857143,153.841428571429,111.037142857143,1467.10285714286,289.99,366.897142857143,128.881428571429,71.3314285714286,132.071428571429,413.738571428571,145.82,50.8842857142857,132.162857142857,175.882857142857,165.27,136.615714285714,111.228571428571,115.801428571429,839.791428571429,790.22,1036.44714285714,2.85714285714286
"31",2021-04-24,207.32619047619,1970.72,311.144285714286,666.085238095238,267.175238095238,78.26,68.9538095238095,455.669047619048,177.540952380952,403.823333333333,351.929523809524,376.566666666667,156.340476190476,111.08,1470.89952380952,291.234761904762,366.894285714286,128.918571428571,71.2604761904762,132.103809523809,414.199047619048,145.687619047619,51.2066666666667,132.263809523809,175.955238095238,165.593333333333,136.754285714286,110.807619047619,115.765238095238,840.459523809524,796.771904761905,1036.38523809524,3.57142857142857
"32",2021-04-25,208.611428571429,1972.94857142857,310.42,666.911428571429,267.355714285714,79,69.86,458.235714285714,178.787142857143,406.202857142857,351.71,377.762857142857,158.862857142857,110.985714285714,1474.42,292.132857142857,366.765714285714,128.875714285714,71.2342857142857,132.075714285714,415.255714285714,145.605714285714,51.5585714285714,132.374285714286,176.044285714286,165.94,136.845714285714,110.424285714286,115.725714285714,841.98,802.537142857143,1035.53142857143,3.85714285714286
"33",2021-04-26,209.69,1973.40714285714,309.325714285714,666.57,267.725714285714,79.7957142857143,70.7014285714286,460.578571428571,179.761428571429,408.698571428571,351.568571428571,378.545714285714,161.408571428571,110.754285714286,1477.66428571429,292.684285714285,366.511428571428,128.752857142857,71.2528571428572,131.987142857143,416.908571428571,145.574285714286,51.94,132.494285714286,176.15,166.31,136.89,110.078571428571,115.682857142857,844.352857142857,807.515714285714,1033.88571428571,4
"34",2021-04-27,209.897142857143,1971.35142857143,309.191428571428,666.934285714286,267.981428571428,81.49,72.0557142857143,463.685714285714,180.301428571429,409.478571428571,351.277142857143,379.661428571429,164.072857142857,110.587142857143,1481.51714285714,292.787142857143,366.254285714286,129.011428571429,71.2557142857143,131.982857142857,418.282857142857,145.421428571429,52.3414285714286,132.455714285714,175.94,166.264285714286,136.882857142857,109.8,115.808571428571,846.151428571428,810.531428571429,1034.07571428571,4.57142857142857
"35",2021-04-28,208.725714285714,1976.53428571429,308.792857142857,669.471428571428,269.571428571428,84.1485714285714,73.6357142857143,465.085714285714,180.388571428571,407.648571428571,351.945714285714,380.13,165.182857142857,110.425714285714,1486.80857142857,292.86,366.445714285714,129.42,71.2185714285715,132.665714285714,420.095714285714,145.348571428571,52.8242857142857,132.53,176.307142857143,166.424285714286,136.931428571429,109.565714285714,115.975714285714,848.941428571428,809.432857142857,1032.83142857143,4.85714285714286
"36",2021-04-29,207.632857142857,1979.62142857143,308.3,670.148571428571,271.637142857143,86.5414285714286,75.6042857142857,466.024285714286,181.178571428571,407,352.807142857143,380.381428571429,167.29,110.534285714286,1490.46428571429,293.158571428571,366.701428571428,130.304285714286,71.4,133.1,422.197142857143,145.715714285714,53.3742857142857,132.701428571428,177.111428571429,166.822857142857,137.15,109.527142857143,116.534285714286,852.701428571428,809.262857142857,1032.46857142857,5
"37",2021-04-30,207.127142857143,1983.83535714286,308.081785714286,672.299642857143,272.753571428571,88.8535714285714,77.6135714285714,465.713928571429,182.428928571429,405.549642857143,353.084642857143,379.912142857143,170.286071428571,110.415357142857,1493.98571428571,292.444642857143,366.548214285714,131.167142857143,71.5535714285715,133.215357142857,422.445357142857,145.909642857143,53.6360714285714,132.7225,177.317142857143,167.195357142857,137.121785714286,109.1925,117.061785714286,853.263928571428,811.08,1032.38464285714,5.42857142857143
"38",2021-05-01,206.45,1987.25607142857,307.780119047619,674.561309523809,273.414523809524,90.7497619047619,79.535,464.326547619048,183.143452380952,403.111785714286,352.840119047619,379.169761904762,173.061071428571,110.150833333333,1496.12761904762,291.817738095238,366.066547619047,131.893333333333,71.6516666666667,133.267023809524,421.868452380952,146.001309523809,53.7220238095238,132.666071428571,177.312857142857,167.385595238095,136.960595238095,108.766547619048,117.481547619048,852.381785714286,812.184285714286,1031.58297619048,5
"39",2021-05-02,205.601428571429,1989.88357142857,307.395,676.933571428571,273.62,92.23,81.3685714285715,461.862142857143,183.322142857143,399.686428571429,352.073571428571,378.154285714286,175.615,109.740714285714,1496.89,291.277857142857,365.256428571428,132.482857142857,71.6942857142858,133.255,420.466428571429,145.990714285714,53.6321428571428,132.532142857143,177.098571428571,167.393571428571,136.666428571429,108.249285714286,117.793571428571,850.055,812.575714285714,1030.06357142857,5.28571428571429
"40",2021-05-03,204.581428571429,1991.71785714286,306.926428571428,679.416428571428,273.37,93.2942857142857,83.1142857142857,458.320714285714,182.965,395.273571428571,350.785,376.865714285714,177.947857142857,109.185,1496.27285714286,290.825,364.117857142857,132.935714285714,71.6814285714286,133.179285714286,418.239285714286,145.877857142857,53.3664285714286,132.320714285714,176.674285714286,167.219285714286,136.239285714286,107.640714285714,117.997857142857,846.283571428571,812.254285714286,1027.82642857143,5.85714285714286
"41",2021-05-04,203.19,1990.22071428572,305.272142857143,679.453571428571,271.62,92.6557142857143,83.3471428571429,450.826428571429,181.225,390.849285714286,348.260714285714,374.867142857143,177.587857142857,108.193571428571,1491.70714285714,289.932142857143,361.895,132.18,71.1685714285715,132.832142857143,416.086428571429,145.537857142857,52.6878571428571,131.833571428571,175.331428571429,166.693571428571,135.499285714286,106.417857142857,117.246428571429,841.297857142857,808.107142857143,1021.28642857143,6.14285714285714
"42",2021-05-05,202.055714285714,1979.47357142857,304.885,679.593571428571,268.257142857143,92.0085714285714,82.7114285714286,444.697857142857,181.592142857143,386.836428571429,345.609285714286,373.178571428571,177.559285714286,107.197857142857,1489.81142857143,289.079285714285,359.999285714286,131.307142857143,70.77,132.993571428571,413.162142857143,145.207857142857,51.755,131.169285714286,173.121428571429,165.942142857143,134.812142857143,105.463571428571,116.526428571429,834.807857142857,803.3,1017.77785714286,6.28571428571429
"43",2021-05-06,202.384285714286,1973.12071428572,305.923571428571,681.625,265.238571428571,91.66,82.8557142857143,440.003571428571,182.259285714286,383.636428571429,343.549285714286,371.852857142857,176.896428571429,106.280714285714,1491.98,288.283571428571,358.003571428571,130.458571428571,70.2942857142857,133.833571428571,410.560714285714,144.580714285714,50.785,130.602142857143,171.304285714286,165.126428571429,134.243571428571,104.845,115.759285714286,828.957857142857,804.622857142857,1017.65214285714,7.42857142857143
"44",2021-05-07,202.521428571429,1968.12392857143,305.223214285714,683.173928571428,262.596428571428,91.4664285714285,82.5921428571429,436.313928571429,183.331785714286,381.881071428571,342.718928571428,370.840714285714,176.771785714286,105.523928571429,1495.98571428571,287.870357142857,356.543928571428,129.835714285714,70.0392857142857,134.149642857143,409.795357142857,144.461071428571,50.2732142857143,130.266785714286,170.54,164.949642857143,134.121785714286,104.919642857143,115.2675,827.056785714285,804.615714285714,1014.62321428571,7.14285714285714
"45",2021-05-08,202.917142857143,1964.92464285714,304.674404761905,686.046071428571,260.359285714285,91.6335714285714,82.6530952380953,434.446547619048,185.24630952381,380.698452380952,342.314404761905,370.302619047619,176.993452380952,105.010357142857,1502.17142857143,287.736309523809,355.5475,129.329523809524,69.7997619047619,134.675595238095,408.989404761905,144.365119047619,49.8039285714286,129.981309523809,169.752857142857,164.87130952381,134.075357142857,104.966071428571,114.843928571429,825.151309523809,806.014761904762,1012.25107142857,7.28571428571429
"46",2021-05-09,203.571428571429,1963.52285714286,304.277142857143,690.241428571428,258.527142857143,92.1614285714285,83.0385714285715,434.401428571428,188.002857142857,380.088571428571,342.335714285714,370.238571428571,177.561428571429,104.74,1510.53714285714,287.881428571428,355.014285714286,128.94,69.5757142857143,135.411428571429,408.142857142857,144.292857142857,49.3771428571429,129.745714285714,168.942857142857,164.891428571429,134.104285714286,104.984285714286,114.488571428571,823.241428571428,808.82,1010.53571428571,6.71428571428571
"47",2021-05-10,204.484285714286,1963.91857142857,304.031428571428,695.76,257.1,93.05,83.7485714285715,436.178571428571,191.601428571429,380.051428571429,342.782857142857,370.648571428571,178.475714285714,104.712857142857,1521.08285714286,288.305714285714,354.944285714286,128.667142857143,69.3671428571429,136.357142857143,407.255714285714,144.244285714286,48.9928571428571,129.56,168.11,165.01,134.208571428571,104.974285714286,114.201428571429,821.327142857143,813.031428571429,1009.47714285714,7.71428571428571
"48",2021-05-11,205.298571428571,1965.71142857143,303.078571428571,703.487142857143,254.702857142857,93.7014285714286,86.2471428571429,440.474285714286,195.457142857143,379.604285714286,342.134285714286,370.47,181.062857142857,104.245714285714,1530.19142857143,288.442857142857,354.162857142857,128.564285714286,69.3214285714286,136.872857142857,404.011428571429,143.5,48.4571428571428,129.354285714286,166.652857142857,164.814285714286,133.931428571429,104.742857142857,114.117142857143,815.511428571428,820.005714285714,1007.04428571429,8.14285714285714
"49",2021-05-12,204.53,1958.10142857143,298.857142857143,702.885714285714,251.242857142857,92.2628571428571,87.2514285714286,437.324285714286,195.285714285714,377.154285714286,338.557142857143,367.04,180.587142857143,102.85,1525.12142857143,287.217142857143,350.847142857143,127.351428571429,69.1157142857143,135.775714285714,400.704285714286,142.097142857143,47.5985714285714,128.858571428571,164.774285714286,163.861428571429,132.958571428571,103.721428571429,113.384285714286,808.271428571428,819.225714285714,995.488571428571,10.1428571428571
"50",2021-05-13,202.388571428571,1948.92142857143,292.545714285714,695.878571428571,247.454285714285,89.6742857142857,86.07,432.4,192.365714285714,372.957142857143,334.087142857143,362.644285714286,178.465714285714,101.378571428571,1514.93,286.727142857143,348.024285714286,125.674285714286,69.0942857142857,133.432857142857,396.068571428572,140.724285714286,46.8828571428571,128.098571428571,162.767142857143,162.9,131.81,102.54,112.571428571429,799.202857142857,810.182857142857,978.515714285714,11.8571428571429
