"","BTC","Oil","Gold","new_cases","total_cases","BTC_ROC","Oil_ROC","Gold_ROC","BTC_7MA","Oil_7MA","Gold_7MA","new_cases_7MA","new_cases_ROC"
"2020-04-02",6793.624512,25.32,1625.699951,32232,256791,0.0278887560357397,0.220481270920513,0.02965353606041,6414.70319485714,21.3299998571428,1611.29999628571,24299.8571428571,-0.000837323590737071
"2020-04-03",6733.387207,28.34,1633.699951,32295,289086,-0.00890628387538861,0.112679636986559,0.00490888893988028,6452.35874728571,22.3057141428571,1612.69998585714,26243.4285714286,0.00195266554314166
"2020-04-04",6867.527344,27.5866666666667,1648.13330066667,32390,321476,0.0197258038854322,-0.0269416700533016,0.00879596348595957,6541.69210385714,23.2414284285714,1616.25235985714,28066.2857142857,0.00293730461691588
"2020-04-05",6791.129395,26.8333333333333,1662.56665033333,29877,351353,-0.0111868607870846,-0.0276876684528244,0.00871926862731964,6665.84730757143,24.1371427142857,1621.95711828571,29634.5714285714,-0.0807605198828423
"2020-04-06",7271.78125,26.08,1677,31393,382746,0.0683840154446251,-0.0284761586979561,0.00864389967073453,6786.12437228571,24.992857,1629.81426114286,30965.7142857143,0.0494958228754836
"2020-04-07",7176.414551,23.629999,1664.800049,30769,413515,-0.0132013831102764,-0.0986516881787223,-0.00730145731082033,6891.52008942857,25.4428568571429,1641.44283614286,31602.1428571429,-0.0200771839063449
"2020-04-08",7334.098633,25.09,1665.400024,31215,444730,0.021734626111293,0.0599523114986011,0.000360323700282272,6995.42327028571,26.1257141428571,1653.89998942857,31453,0.014391012459182
"2020-04-09",7302.089355,22.76,1736.199951,35936,480666,-0.00437399807372074,-0.0974647511202007,0.0416334395224816,7068.061105,25.7599998571429,1669.68570371429,31982.1428571429,0.140840409180409
"2020-04-10",6865.493164,22.6725,1738.3499755,34414,515080,-0.0616526461408924,-0.00385187291854461,0.00123758461953205,7086.93338457143,24.950357,1684.63570721429,32284.8571428571,-0.0432759971561065
"2020-04-11",6859.083008,22.585,1740.5,29102,544182,-0.000934113576372297,-0.00386676723301838,0.00123605489680934,7085.72705085714,24.2358331904762,1697.83094997619,31815.1428571429,-0.167656027598763
"2020-04-12",6971.091797,22.4975,1742.6500245,27257,571439,0.0161980943299032,-0.00388177718060057,0.00123452895105913,7111.43596542857,23.6164284285714,1709.271432,31440.8571428571,-0.0654962988915422
"2020-04-13",6845.037598,22.41,1744.800049,26940,598379,-0.0182479033357801,-0.00389690411313115,0.00123300676831395,7050.47258657143,23.0921427142857,1718.95715328571,30804.7142857143,-0.0116981547027777
"2020-04-14",6842.427734,20.110001,1756.699951,28825,627204,-0.000381350961383475,-0.108290034301772,0.00679705715526069,7002.76018414286,22.5892858571428,1732.08571071429,30527,0.0676306524320438
"2020-04-15",6642.109863,19.870001,1727.199951,25406,652610,-0.0297129370642217,-0.0120061466202133,-0.0169354492951461,6903.90464557143,21.8435717142857,1740.91427171429,29697.1428571429,-0.126257232688245
"2020-04-16",7116.804199,19.870001,1720.400024,30015,682625,0.0690291127380416,0,-0.00394473597115663,6877.43533757143,21.4307147142857,1738.65713928571,28851.2857142857,0.166711285694142
"2020-04-17",7187.234619,18.27,1689.199951,33030,715655,0.00984770666169332,-0.0839507365009351,-0.0183018208078511,6923.39840257143,20.8017861428571,1731.63570721429,28653.5714285714,0.0957186785830704
"2020-04-18",7257.665039,-0.363333666666666,1693.33329266667,27932,743587,0.00975167426555679,NA,0.0024439338366955,6980.33869271428,17.5234527619048,1724.89760616667,28486.4285714286,-0.16764270184829
"2020-04-19",7189.424805,-18.9966673333333,1697.46663433333,26096,769683,-0.00944698790520704,NA,0.00243797558271819,7011.52912242857,11.5957145714286,1718.44283614286,28320.5714285714,-0.0679906872243148
"2020-04-20",6881.958496,-37.630001,1701.599976,29828,799511,-0.0437078926761458,NA,0.00243204631026739,7016.80353642857,3.01857157142856,1712.27139714286,28733.1428571429,0.133665024354354
"2020-04-21",6880.323242,10.01,1678.199951,25917,825428,-0.000237642861675269,NA,-0.0138472095436368,7022.21718042857,1.57571428571428,1701.05711142857,28317.7142857143,-0.140547919721888
"2020-04-22",7117.20752,13.78,1728.699951,28859,854287,0.0338498125548465,0.319633672258383,0.0296478913457232,7090.08827428571,0.705714142857132,1701.27139714286,28811,0.107522385319589
"2020-04-23",7429.724609,16.5,1733.300049,33570,887857,0.0429733470599256,0.180142115321023,0.00265748163329693,7134.79119,0.224285428571418,1703.11425785714,29318.8571428571,0.151210422009395
"2020-04-24",7550.900879,16.940001,1723.5,32327,920184,0.0161780845593142,0.0263173673492489,-0.005670027260118,7186.74351285714,0.0342855714285609,1708.01426485714,29218.4285714286,-0.037729902092682
